name,type,start_time,duration,"identifier","num_data_bytes","extended","data","crc","ack"
"CAN","identifier_field",2023-08-25T05:27:11.752721116+00:00,0.000144,0x000000000CF00400,,true,,,
"CAN","control_field",2023-08-25T05:27:11.752869116+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.752885116+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:27:11.752921116+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.752957116+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.752993116+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.753029116+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.753069116+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.753105116+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.753141116+00:00,3.2e-05,,,,0x7D,,
"CAN","crc_field",2023-08-25T05:27:11.753177116+00:00,6e-05,,,,,0x0000000000006D3F,
"CAN","ack_field",2023-08-25T05:27:11.753245116+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.755429212+00:00,0.00014,0x0000000008FE6E0B,,true,,,
"CAN","control_field",2023-08-25T05:27:11.755573212+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.755589212+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.755629212+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.755665212+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.755705212+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.755745212+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.755781212+00:00,3.6e-05,,,,0x00,,
