name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","identifier_field",0.001598125,0.00014,0x0000000018F03300,true,,,,
"CAN","control_field",0.001742125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.001758125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.001794125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.001834125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.001870125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.001910125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.001950125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.001986125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.002026125,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.002062125,6.4e-05,,,,,0x000000000000480D,
"CAN","ack_field",0.002134125,4e-06,,,,,,true
"CAN","identifier_field",0.003394625,0.000144,0x000000000CF00400,true,,,,
"CAN","control_field",0.003542625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.003558625,2.8e-05,,,,0x70,,
"CAN","data_field",0.003590625,3.6e-05,,,,0x7D,,
"CAN","data_field",0.003630625,2.8e-05,,,,0x89,,
"CAN","data_field",0.003662625,2.8e-05,,,,0x16,,
"CAN","data_field",0.003694625,2.8e-05,,,,0x19,,
"CAN","data_field",0.003726625,3.2e-05,,,,0x00,,
"CAN","data_field",0.003762625,3.2e-05,,,,0x0F,,
"CAN","data_field",0.003798625,3.2e-05,,,,0x8A,,
"CAN","crc_field",0.003834625,5.6e-05,,,,,0x0000000000005951,
"CAN","ack_field",0.003898625,4e-06,,,,,,true
"CAN","identifier_field",0.006595375,0.000144,0x0000000018FCF200,true,,,,
"CAN","control_field",0.006743375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.006759375,2.8e-05,,,,0xE1,,
"CAN","data_field",0.006791375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.006827375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.006867375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.006907375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.006943375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.006983375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.007019375,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.007059375,5.6e-05,,,,,0x0000000000002DA6,
"CAN","ack_field",0.007123375,4e-06,,,,,,true
"CAN","identifier_field",0.0094676875,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.0096116875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0096276875,3.2e-05,,,,0xC0,,
"CAN","data_field",0.0096636875,3.2e-05,,,,0x00,,
"CAN","data_field",0.0096996875,3.6e-05,,,,0x00,,
"CAN","data_field",0.0097396875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0097756875,3.2e-05,,,,0xF7,,
"CAN","data_field",0.0098116875,2.8e-05,,,,0x3B,,
"CAN","data_field",0.0098436875,2.8e-05,,,,0x18,,
"CAN","data_field",0.0098756875,3.2e-05,,,,0x03,,
"CAN","crc_field",0.0099116875,5.6e-05,,,,,0x000000000000054B,
"CAN","ack_field",0.0099756875,4e-06,,,,,,true
"CAN","identifier_field",0.0100759375,0.00014,0x000000000CF00C03,true,,,,
"CAN","control_field",0.0102199375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0102359375,2.8e-05,,,,0xF1,,
"CAN","data_field",0.0102679375,3.2e-05,,,,0x03,,
"CAN","data_field",0.0103039375,2.8e-05,,,,0x58,,
"CAN","data_field",0.0103359375,3.2e-05,,,,0x19,,
"CAN","data_field",0.0103719375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0104079375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0104479375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0104879375,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0105239375,6.4e-05,,,,,0x0000000000003F7D,
"CAN","ack_field",0.0105959375,4e-06,,,,,,true
"CAN","identifier_field",0.0120325,0.000148,0x0000000018FEDF00,true,,,,
"CAN","control_field",0.0121845,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0122005,2.8e-05,,,,0x84,,
"CAN","data_field",0.0122325,2.8e-05,,,,0xA0,,
"CAN","data_field",0.0122685,2.8e-05,,,,0x28,,
"CAN","data_field",0.0123005,3.2e-05,,,,0x7D,,
"CAN","data_field",0.0123365,3.2e-05,,,,0x7D,,
"CAN","data_field",0.0123725,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0124085,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0124485,3.2e-05,,,,0xF0,,
"CAN","crc_field",0.0124845,5.6e-05,,,,,0x0000000000004B5B,
"CAN","ack_field",0.0125485,4e-06,,,,,,true
"CAN","identifier_field",0.012604875,0.000144,0x0000000018E0FF00,true,,,,
"CAN","control_field",0.012752875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.012768875,3.6e-05,,,,0x00,,
"CAN","data_field",0.012808875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.012844875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.012884875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.012920875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.012960875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.013000875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.013036875,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.013076875,5.6e-05,,,,,0x0000000000005EBA,
"CAN","ack_field",0.013140875,4e-06,,,,,,true
"CAN","identifier_field",0.0131971875,0.000144,0x0000000018F00F00,true,,,,
"CAN","control_field",0.0133451875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0133611875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0133971875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0134371875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0134731875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0135131875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0135531875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0135891875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0136291875,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0136651875,6e-05,,,,,0x0000000000007AF3,
"CAN","ack_field",0.0137331875,4e-06,,,,,,true
"CAN","identifier_field",0.0166740625,0.000144,0x000000000CF00300,true,,,,
"CAN","control_field",0.0168220625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0168380625,2.8e-05,,,,0xD1,,
"CAN","data_field",0.0168700625,3.2e-05,,,,0x00,,
"CAN","data_field",0.0169060625,3.2e-05,,,,0x16,,
"CAN","data_field",0.0169420625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0169780625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0170180625,2.8e-05,,,,0x0F,,
"CAN","data_field",0.0170500625,3.2e-05,,,,0x8C,,
"CAN","data_field",0.0170860625,3.2e-05,,,,0x7E,,
"CAN","crc_field",0.0171220625,5.6e-05,,,,,0x0000000000002EA7,
"CAN","ack_field",0.0171860625,4e-06,,,,,,true
"CAN","identifier_field",0.017242375,0.000144,0x0000000018FEF100,true,,,,
"CAN","control_field",0.017390375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.017406375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.017442375,3.2e-05,,,,0x00,,
"CAN","data_field",0.017478375,3.6e-05,,,,0x00,,
"CAN","data_field",0.017518375,3.2e-05,,,,0xFC,,
"CAN","data_field",0.017554375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.017590375,2.8e-05,,,,0x3D,,
"CAN","data_field",0.017622375,3.2e-05,,,,0x00,,
"CAN","data_field",0.017658375,2.8e-05,,,,0xCF,,
"CAN","crc_field",0.017690375,6.4e-05,,,,,0x000000000000497C,
"CAN","ack_field",0.017762375,4e-06,,,,,,true
"CAN","identifier_field",0.01862275,0.000136,0x0000000018F0010B,true,,,,
"CAN","control_field",0.01876275,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.01877875,2.8e-05,,,,0xCF,,
"CAN","data_field",0.01881075,3.6e-05,,,,0xFF,,
"CAN","data_field",0.01885075,3.2e-05,,,,0xF0,,
"CAN","data_field",0.01888675,3.2e-05,,,,0xFF,,
"CAN","data_field",0.01892275,3.6e-05,,,,0xFF,,
"CAN","data_field",0.01896275,2.8e-05,,,,0xCD,,
"CAN","data_field",0.01899475,3.2e-05,,,,0xFF,,
"CAN","data_field",0.01903075,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.01907075,5.6e-05,,,,,0x000000000000459B,
"CAN","ack_field",0.01913475,4e-06,,,,,,true
"CAN","identifier_field",0.0195150625,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.0196590625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0196750625,3.2e-05,,,,0xC0,,
"CAN","data_field",0.0197110625,3.2e-05,,,,0x00,,
"CAN","data_field",0.0197470625,3.6e-05,,,,0x00,,
"CAN","data_field",0.0197870625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0198230625,3.2e-05,,,,0xF7,,
"CAN","data_field",0.0198590625,2.8e-05,,,,0x3C,,
"CAN","data_field",0.0198910625,3.2e-05,,,,0x18,,
"CAN","data_field",0.0199270625,3.2e-05,,,,0x03,,
"CAN","crc_field",0.0199630625,5.6e-05,,,,,0x0000000000001B8C,
"CAN","ack_field",0.0200270625,4e-06,,,,,,true
"CAN","identifier_field",0.020563125,0.000144,0x000000000C010305,true,,,,
"CAN","control_field",0.020711125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.020727125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.020763125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.020803125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.020839125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.020879125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.020919125,2.8e-05,,,,0xF3,,
"CAN","data_field",0.020951125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.020991125,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.021027125,6.4e-05,,,,,0x000000000000007D,
"CAN","ack_field",0.021099125,4e-06,,,,,,true
"CAN","identifier_field",0.0216435625,0.000144,0x0000000018FEEE00,true,,,,
"CAN","control_field",0.0217915625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0218075625,3.2e-05,,,,0x7D,,
"CAN","data_field",0.0218435625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0218795625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0219195625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0219595625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0219955625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0220355625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0220715625,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.0221115625,5.6e-05,,,,,0x00000000000050A0,
