name,type,start_time,duration,"identifier","num_data_bytes","extended","data","crc","ack"
"CAN","identifier_field",2023-08-25T05:19:05.176514728+00:00,0.000144,0x000000000CF00300,,true,,,
"CAN","control_field",2023-08-25T05:19:05.176662728+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.176678728+00:00,3.2e-05,,,,0xF9,,
"CAN","data_field",2023-08-25T05:19:05.176714728+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.176750728+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.176786728+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.176822728+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.176862728+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.176898728+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.176938728+00:00,3.2e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.176978728+00:00,5.6e-05,,,,,0x0000000000001B78,
"CAN","ack_field",2023-08-25T05:19:05.177042728+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.185878400+00:00,0.000144,0x0000000018FEF100,,true,,,
"CAN","control_field",2023-08-25T05:19:05.186026400+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.186042400+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.186078400+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.186114400+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.186154400+00:00,2.8e-05,,,,0x50,,
"CAN","data_field",2023-08-25T05:19:05.186186400+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.186226400+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.186266400+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.186302400+00:00,3.2e-05,,,,0xC0,,
"CAN","crc_field",2023-08-25T05:19:05.186338400+00:00,5.6e-05,,,,,0x0000000000001D08,
"CAN","ack_field",2023-08-25T05:19:05.186402400+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.190162344+00:00,0.00014,0x0000000008FE6E0B,,true,,,
"CAN","control_field",2023-08-25T05:19:05.190306344+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.190322344+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.190362344+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.190398344+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.190438344+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.190478344+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.190514344+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.190554344+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.190590344+00:00,3.6e-05,,,,0x00,,
"CAN","crc_field",2023-08-25T05:19:05.190630344+00:00,5.6e-05,,,,,0x0000000000001522,
"CAN","ack_field",2023-08-25T05:19:05.190694344+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.195990280+00:00,0.000144,0x000000000CF00400,,true,,,
"CAN","control_field",2023-08-25T05:19:05.196138280+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.196154280+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.196190280+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.196226280+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.196262280+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.196298280+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.196338280+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.196374280+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.196410280+00:00,3.2e-05,,,,0x7D,,
"CAN","crc_field",2023-08-25T05:19:05.196446280+00:00,6e-05,,,,,0x0000000000006D3F,
"CAN","ack_field",2023-08-25T05:19:05.196514280+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.200214352+00:00,0.000136,0x0000000018F0010B,,true,,,
"CAN","control_field",2023-08-25T05:19:05.200354352+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.200370352+00:00,2.8e-05,,,,0xCF,,
"CAN","data_field",2023-08-25T05:19:05.200402352+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.200442352+00:00,3.2e-05,,,,0xF0,,
"CAN","data_field",2023-08-25T05:19:05.200478352+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.200514352+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.200554352+00:00,2.8e-05,,,,0xDC,,
"CAN","data_field",2023-08-25T05:19:05.200586352+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.200622352+00:00,3.6e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.200662352+00:00,5.6e-05,,,,,0x00000000000056AC,
"CAN","ack_field",2023-08-25T05:19:05.200726352+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.205846432+00:00,0.000144,0x0000000018FEF200,,true,,,
"CAN","control_field",2023-08-25T05:19:05.205994432+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.206010432+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.206050432+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.206086432+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.206126432+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.206166432+00:00,2.8e-05,,,,0x3C,,
"CAN","data_field",2023-08-25T05:19:05.206198432+00:00,3.2e-05,,,,0x05,,
"CAN","data_field",2023-08-25T05:19:05.206234432+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.206270432+00:00,3.6e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.206310432+00:00,5.6e-05,,,,,0x0000000000005A29,
"CAN","ack_field",2023-08-25T05:19:05.206374432+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.210270376+00:00,0.00014,0x0000000018FEBF0B,,true,,,
"CAN","control_field",2023-08-25T05:19:05.210414376+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.210430376+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.210470376+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.210506376+00:00,3.6e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.210546376+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.210582376+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.210618376+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.210654376+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.210690376+00:00,3.6e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.210730376+00:00,6e-05,,,,,0x0000000000007D87,
"CAN","ack_field",2023-08-25T05:19:05.210798376+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.210850600+00:00,0.00014,0x0000000008FE6E0B,,true,,,
"CAN","control_field",2023-08-25T05:19:05.210994600+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.211010600+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.211050600+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.211086600+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.211126600+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.211166600+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.211202600+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.211242600+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.211278600+00:00,3.6e-05,,,,0x00,,
"CAN","crc_field",2023-08-25T05:19:05.211318600+00:00,5.6e-05,,,,,0x0000000000001522,
"CAN","ack_field",2023-08-25T05:19:05.211382600+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.215958816+00:00,0.000144,0x000000000CF00400,,true,,,
"CAN","control_field",2023-08-25T05:19:05.216106816+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.216122816+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.216158816+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.216194816+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.216230816+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.216266816+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.216306816+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.216342816+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.216378816+00:00,3.2e-05,,,,0x7D,,
"CAN","crc_field",2023-08-25T05:19:05.216414816+00:00,6e-05,,,,,0x0000000000006D3F,
"CAN","ack_field",2023-08-25T05:19:05.216482816+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.220390872+00:00,0.00014,0x0000000018EBFF0B,,true,,,
"CAN","control_field",2023-08-25T05:19:05.220534872+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.220550872+00:00,3.2e-05,,,,0x02,,
"CAN","data_field",2023-08-25T05:19:05.220586872+00:00,3.2e-05,,,,0x02,,
"CAN","data_field",2023-08-25T05:19:05.220622872+00:00,3.2e-05,,,,0x04,,
"CAN","data_field",2023-08-25T05:19:05.220658872+00:00,3.2e-05,,,,0x7F,,
"CAN","data_field",2023-08-25T05:19:05.220694872+00:00,2.8e-05,,,,0x63,,
"CAN","data_field",2023-08-25T05:19:05.220726872+00:00,3.2e-05,,,,0x02,,
"CAN","data_field",2023-08-25T05:19:05.220762872+00:00,3.2e-05,,,,0x0E,,
"CAN","data_field",2023-08-25T05:19:05.220798872+00:00,3.2e-05,,,,0x7F,,
"CAN","crc_field",2023-08-25T05:19:05.220834872+00:00,5.6e-05,,,,,0x0000000000005915,
"CAN","ack_field",2023-08-25T05:19:05.220898872+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.226018928+00:00,0.000144,0x000000000CF00300,,true,,,
"CAN","control_field",2023-08-25T05:19:05.226166928+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.226182928+00:00,3.2e-05,,,,0xF9,,
"CAN","data_field",2023-08-25T05:19:05.226218928+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.226254928+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.226290928+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.226326928+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.226366928+00:00,3.2e-05,,,,0xFF,,
