name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","identifier_field",0.0023025,0.000144,0x0000000018FEE400,true,,,,
"CAN","control_field",0.0024505,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0024665,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0025025,3.2e-05,,,,0x3F,,
"CAN","data_field",0.0025385,3.2e-05,,,,0xFC,,
"CAN","data_field",0.0025745,3.2e-05,,,,0xFC,,
"CAN","data_field",0.0026105,3.2e-05,,,,0x00,,
"CAN","data_field",0.0026505,3.2e-05,,,,0x7F,,
"CAN","data_field",0.0026865,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0027265,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0027625,6.4e-05,,,,,0x000000000000702E,
"CAN","ack_field",0.0028345,4e-06,,,,,,true
"CAN","identifier_field",0.007671625,0.000148,0x0000000018FEDF00,true,,,,
"CAN","control_field",0.007823625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.007839625,2.8e-05,,,,0x85,,
"CAN","data_field",0.007871625,2.8e-05,,,,0xA0,,
"CAN","data_field",0.007907625,2.8e-05,,,,0x28,,
"CAN","data_field",0.007939625,3.2e-05,,,,0x7D,,
"CAN","data_field",0.007975625,3.2e-05,,,,0x7D,,
"CAN","data_field",0.008011625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.008047625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.008087625,3.2e-05,,,,0xF0,,
"CAN","crc_field",0.008123625,6e-05,,,,,0x0000000000001C6B,
"CAN","ack_field",0.008191625,4e-06,,,,,,true
"CAN","identifier_field",0.0082479375,0.000148,0x0000000010FCFD00,true,,,,
"CAN","control_field",0.0083999375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0084159375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0084519375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0084919375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0085279375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0085679375,3.2e-05,,,,0x00,,
"CAN","data_field",0.0086039375,3.2e-05,,,,0x32,,
"CAN","data_field",0.0086399375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0086759375,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.0087159375,6e-05,,,,,0x00000000000060CA,
"CAN","ack_field",0.0087839375,4e-06,,,,,,true
"CAN","identifier_field",0.0088361875,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.0089801875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0089961875,3.2e-05,,,,0xC0,,
"CAN","data_field",0.0090321875,3.2e-05,,,,0x00,,
"CAN","data_field",0.0090681875,3.6e-05,,,,0x00,,
"CAN","data_field",0.0091081875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0091441875,3.2e-05,,,,0xF7,,
"CAN","data_field",0.0091801875,3.2e-05,,,,0xF5,,
"CAN","data_field",0.0092161875,2.8e-05,,,,0x17,,
