name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","identifier_field",0.00127775,0.00014,0x0000000018F03300,true,,,,
"CAN","control_field",0.00142175,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.00143775,3.2e-05,,,,0xFF,,
"CAN","data_field",0.00147375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.00151375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.00154975,3.6e-05,,,,0xFF,,
"CAN","data_field",0.00158975,3.2e-05,,,,0xFF,,
"CAN","data_field",0.00162975,3.2e-05,,,,0xFF,,
"CAN","data_field",0.00166575,3.6e-05,,,,0xFF,,
"CAN","data_field",0.00170575,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.00174175,6.4e-05,,,,,0x000000000000480D,
"CAN","ack_field",0.00181375,4e-06,,,,,,true
"CAN","identifier_field",0.0030623125,0.000144,0x000000000CF00400,true,,,,
"CAN","control_field",0.0032103125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0032263125,2.8e-05,,,,0x70,,
"CAN","data_field",0.0032583125,3.6e-05,,,,0x7D,,
"CAN","data_field",0.0032983125,2.8e-05,,,,0x8A,,
"CAN","data_field",0.0033303125,2.8e-05,,,,0xE8,,
"CAN","data_field",0.0033623125,3.2e-05,,,,0x18,,
"CAN","data_field",0.0033983125,3.6e-05,,,,0x00,,
"CAN","data_field",0.0034383125,3.2e-05,,,,0x0F,,
"CAN","data_field",0.0034783125,2.8e-05,,,,0x8B,,
"CAN","crc_field",0.0035103125,5.6e-05,,,,,0x0000000000002C67,
"CAN","ack_field",0.0035743125,4e-06,,,,,,true
"CAN","identifier_field",0.0058704375,0.000136,0x0000000018F00131,true,,,,
"CAN","control_field",0.0060104375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0060264375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0060624375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0061024375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0061384375,3.2e-05,,,,0x3F,,
"CAN","data_field",0.0061744375,3.2e-05,,,,0xFA,,
"CAN","data_field",0.0062104375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0062464375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0062864375,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0063224375,5.6e-05,,,,,0x0000000000000B0F,
"CAN","ack_field",0.0063864375,4e-06,,,,,,true
"CAN","identifier_field",0.0064388125,0.000144,0x0000000018FCF200,true,,,,
"CAN","control_field",0.0065868125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0066028125,2.8e-05,,,,0xE1,,
"CAN","data_field",0.0066348125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0066708125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0067108125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0067508125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0067868125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0068268125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0068628125,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.0069028125,5.6e-05,,,,,0x0000000000002DA6,
"CAN","ack_field",0.0069668125,4e-06,,,,,,true
"CAN","identifier_field",0.007019,0.000136,0x0000000018FEF131,true,,,,
"CAN","control_field",0.007159,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.007175,2.8e-05,,,,0xF7,,
"CAN","data_field",0.007207,3.6e-05,,,,0xFF,,
"CAN","data_field",0.007247,3.2e-05,,,,0xFF,,
"CAN","data_field",0.007283,3.2e-05,,,,0xC3,,
"CAN","data_field",0.007319,2.8e-05,,,,0xCC,,
"CAN","data_field",0.007351,3.2e-05,,,,0xFF,,
"CAN","data_field",0.007387,3.6e-05,,,,0xFF,,
"CAN","data_field",0.007427,3.2e-05,,,,0xF0,,
"CAN","crc_field",0.007467,6e-05,,,,,0x000000000000031F,
"CAN","ack_field",0.007539,4e-06,,,,,,true
"CAN","identifier_field",0.0076033125,0.00014,0x0000000018FEF031,true,,,,
"CAN","control_field",0.0077473125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0077633125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0077993125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0078393125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0078753125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0079153125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0079553125,3.2e-05,,,,0xFC,,
"CAN","data_field",0.0079913125,2.8e-05,,,,0xCC,,
"CAN","data_field",0.0080233125,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0080593125,6e-05,,,,,0x000000000000638F,
"CAN","ack_field",0.0081273125,4e-06,,,,,,true
"CAN","identifier_field",0.0081995625,0.000144,0x0000000018FF4831,true,,,,
"CAN","control_field",0.0083475625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0083635625,3.6e-05,,,,0x00,,
"CAN","data_field",0.0084035625,3.2e-05,,,,0x00,,
"CAN","data_field",0.0084395625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0084755625,3.6e-05,,,,0xFF,,
